BIT_DEPTH,RATE_OF_PENETRATION,HOOK_LOAD,DIFFERENTIAL_PRESSURE,WEIGHT_ON_BIT,DRILL_BIT_ID,DRILL_BIT_NAME
138.57,288.5,69.5,-55,0.14,1,Apollo
139.24,306.9,69.2,-43,0.12,1,Apollo
140.63,275,70,-94,-0.02,1,Apollo
141.02,194.7,68,-48,-0.09,1,Apollo
142.51,154.7,69.3,10,0.48,1,Apollo
143.03,148.5,69.7,33,0.3,1,Apollo
144.51,151.6,68.9,63,0.2,1,Apollo
145.03,147.8,69.2,73,0.52,1,Apollo
146.54,214.4,70.2,1,-0.42,1,Apollo
147.09,246.3,67.7,56,0.49,1,Apollo
148.54,248.6,69.6,76,0.43,1,Apollo
149.09,247.3,67.9,3,-0.13,1,Apollo
150.54,247,69.4,71,0.38,1,Apollo
151.11,208.6,62.2,233,7.15,1,Apollo
152.58,293.4,57.4,334,10.06,1,Apollo
153.1,332.9,58,443,11.87,1,Apollo
155.04,375.9,55.5,326,18.22,1,Apollo
158.63,433.2,58.7,501,7.51,1,Apollo
160.68,396.8,59.9,540,13.72,1,Apollo
161.06,396.3,48,452,16.48,1,Apollo
163.22,443,56.9,560,14.05,1,Apollo
164.55,429.4,56.5,476,14.27,1,Apollo
166.5,376.2,60.5,534,12.7,1,Apollo
168.65,392.4,54.2,418,16.74,1,Apollo
183.08,356.4,45.8,420,21.54,1,Apollo
210.5,371.4,74.9,30,-0.61,1,Apollo
211.02,342.7,59.4,293,12.82,1,Apollo
212.59,404.4,57.2,394,16.85,1,Apollo
213.28,384.1,65.4,387,12.84,1,Apollo
214.53,397.4,59,372,16.73,1,Apollo
215.04,383.9,60.6,418,15.63,1,Apollo
216.52,392.9,60.3,503,18.32,1,Apollo
217.02,396,53.3,483,19.34,1,Apollo
218.52,447.8,48.9,527,23.5,1,Apollo
219.06,389.2,52.5,527,24,1,Apollo
229.05,415.6,53.5,610,20.84,1,Apollo
234.57,323.1,53.1,532,18.49,1,Apollo
238.5,505.3,55.1,527,17.76,1,Apollo
240.52,405.7,56.1,612,19.63,1,Apollo
246.63,627.9,55.2,531,17.29,1,Apollo
250.73,472.7,52.8,555,18.03,1,Apollo
292.55,421.4,61.6,109,19.13,1,Apollo
293.01,500.4,72.2,250,11.62,1,Apollo
294.72,434.9,72.6,32,14.19,1,Apollo
295.02,489.4,58.5,474,35.52,1,Apollo
298.65,512.8,64.5,837,29.1,1,Apollo
299.37,531.2,52.9,510,22.29,1,Apollo
300.51,420,60.2,671,15.54,1,Apollo
301.15,451.4,49.9,529,29.4,1,Apollo
302.59,425.6,45.9,513,27.75,1,Apollo
304.55,431.4,62.9,578,19.01,1,Apollo
305.14,493.1,57.8,649,18.89,1,Apollo
306.65,416,58.1,572,16.64,1,Apollo
308.62,442.5,51.3,558,28.48,1,Apollo
312.68,417.4,51.3,572,31.56,1,Apollo
316.56,441,56.3,483,27.71,1,Apollo
317.14,409.2,57.3,619,21.79,1,Apollo
318.8,520.4,52.6,481,24.42,1,Apollo
319.03,525.4,57.4,576,22.93,1,Apollo
322.62,469,51.4,606,20.27,1,Apollo
325.22,505.3,52.3,600,24.04,1,Apollo
326.52,520.3,53.1,660,28,1,Apollo
328.71,521.6,58.5,680,23.29,1,Apollo
336.66,580.9,59.3,641,25.58,1,Apollo
340.81,501.1,59.4,804,27.7,1,Apollo
346.56,584.2,55.2,869,25.44,1,Apollo
347.16,521.7,54.6,718,23.69,1,Apollo
353.15,480.2,48.5,660,26.38,1,Apollo
358.5,492.4,57.3,743,22.74,1,Apollo
362.5,517.3,56.5,800,24.97,1,Apollo
363.42,548.1,56.4,715,25.2,1,Apollo
364.59,501.7,52.7,760,28.71,1,Apollo
380.59,406.1,70.2,423,18.95,1,Apollo
381.07,440.6,67.6,301,15.84,1,Apollo
382.56,635.9,59.6,628,23.67,1,Apollo
383.79,663.9,52.7,622,32.15,1,Apollo
384.77,704.3,59.7,537,23.63,1,Apollo
391.18,660,56.3,417,34.07,1,Apollo
392.76,665.9,58,429,23.52,1,Apollo
395.04,710.8,55.7,537,18.24,1,Apollo
395.04,690.2,52.8,382,24.97,1,Apollo
396.71,611.1,65,569,21.5,1,Apollo
397.76,652.8,65.1,568,27.88,1,Apollo
400.59,562.7,65.3,352,15.86,1,Apollo
406.54,476.9,50.5,582,36.9,1,Apollo
408.69,691.1,53.5,669,27.63,1,Apollo
409,717.6,53.5,666,26.31,1,Apollo
410.63,555.5,58.9,563,30.2,1,Apollo
412.75,469.1,53.3,519,34.9,1,Apollo
417.76,420,57.4,517,23.22,1,Apollo
