"BIT_DEPTH","RATE_OF_PENETRATION","HOOK_LOAD","DIFFERENTIAL_PRESSURE","WEIGHT_ON_BIT","DRILL_BIT_ID","DRILL_BIT_NAME"
370.07,622.9,55,480,17.52,1,"ChallengDriller"
370.75,320,85.2,-33,-11.16,1,"ChallengDriller"
372.62,870.3,59.9,-36,16.96,1,"ChallengDriller"
373.08,774.8,76.2,431,0.33,1,"ChallengDriller"
374.07,638.6,63.4,361,11.91,1,"ChallengDriller"
374.76,677.4,61.1,497,13.66,1,"ChallengDriller"
376.8,707,53.5,458,20.64,1,"ChallengDriller"
377.03,681.8,60.8,588,21.9,1,"ChallengDriller"
378.71,774.9,59.1,466,16.35,1,"ChallengDriller"
379.2,697.8,56.8,613,20.46,1,"ChallengDriller"
380.87,651.8,57.6,557,19.57,1,"ChallengDriller"
381.07,639.5,62.2,569,19.57,1,"ChallengDriller"
382.51,698.6,59.2,463,10.76,1,"ChallengDriller"
383.24,685.5,61,451,11.47,1,"ChallengDriller"
384.69,663.1,57.7,522,11.75,1,"ChallengDriller"
385.03,653.6,63.4,524,9.23,1,"ChallengDriller"
386.57,580.9,61.4,513,10.64,1,"ChallengDriller"
387.09,631.4,65.7,415,11.37,1,"ChallengDriller"
388.62,320.9,72.3,450,4.61,1,"ChallengDriller"
389.08,430.2,66.9,474,7.31,1,"ChallengDriller"
390.69,594.4,60.5,652,12.43,1,"ChallengDriller"
391.06,654.5,59.5,709,15.22,1,"ChallengDriller"
392.55,761.1,53.3,674,15.82,1,"ChallengDriller"
393.23,851.2,57.4,667,20.09,1,"ChallengDriller"
394.58,696.9,58.5,736,17.65,1,"ChallengDriller"
395.18,744.2,61.6,800,18.44,1,"ChallengDriller"
397.16,715.1,62,698,12.86,1,"ChallengDriller"
398.52,693.9,61.5,746,13.41,1,"ChallengDriller"
399.18,703.8,57.1,732,13.43,1,"ChallengDriller"
400.65,651.6,52.9,634,20.1,1,"ChallengDriller"
401.15,604.2,58.6,691,10.19,1,"ChallengDriller"
402.58,676.3,58.7,603,15.56,1,"ChallengDriller"
403.07,592.5,71,690,8.74,1,"ChallengDriller"
404.71,618.7,65.1,717,10.94,1,"ChallengDriller"
405.27,672,63.3,729,12.58,1,"ChallengDriller"
406.71,767.2,52.5,583,19.28,1,"ChallengDriller"
408.385,659.9,61.5,696,17.975,1,"ChallengDriller"
409.12,691.1,60.7,751,20.45,1,"ChallengDriller"
410.2,734.6,64.1,627,9.54,1,"ChallengDriller"
410.91,956.7,55.1,785,19.22,1,"ChallengDriller"
